Ticker,Description,Company Name,Sector,Industry Group,Industry,Sub-Industry,Comment
BMY,"Bristol-Myers Squibb Company is a biopharmaceutical company. The Company is engaged in the discovery, development, licensing, manufacturing, marketing, distribution, and sale of biopharmaceutical products. It offers products for a range of therapeutic classes, which include oncology, immunology, cardiovascular and fibrosis. Its pharmaceutical products include chemically synthesized or small molecule drugs and products produced from biological processes, called biologics. Biologics are administered to patients through injections or by infusion. Its products include Revlimid, Eliquis, Opdivo, Orencia, Pomalyst/Imnovid, Sprycel, Yervoy, Abraxane, Empliciti, Reblozyl, Inrebic, Onureg, Zeposia, Vidaza, Baraclude and Breyanzi. It also has a pipeline of investigational medicines designed to target the common mutations associated with oncogenesis, including repotrectinib. Its products are sold to wholesalers, distributors, pharmacies, retailers, hospitals, clinics, and government agencies.",BRISTOL-MYERS SQUIBB CO,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
SAVA,"Cassava Sciences, Inc. is a clinical-stage biotechnology company. The Company is focused on developing the drug for the treatment of neurodegenerative diseases, such as Alzheimer's disease. The Company’s products include Simufilam and SavaDx. Its lead therapeutic product candidate, Simufilam, is a proprietary small molecule (oral) drug. Simufilam targets an altered form of a protein called filamin A (FLNA) in the Alzheimer's brain. The SavaDx, is an early-stage program focused on detecting the presence of Alzheimer's disease from a small sample of blood, possibly years before the overt appearance of clinical symptoms. It is also developing SavaDx is a quantitative blood-based investigational biomarker/diagnostic to detect and monitor Alzheimer's disease. The Company’s scientific approach for the treatment of Alzheimer's disease seeks to simultaneously progress both neurodegeneration and neuroinflammation. ",CASSAVA SCIENCES INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
CTLT,"Catalent, Inc. provides delivery technologies, and development and manufacturing solutions for drugs; protein, cell, and gene therapy biologics; and consumer health products. Its segments include Softgel and Oral Technologies, Biologics, Oral and Specialty Delivery, and Clinical Supply Services. The Softgel and Oral Technologies segment is engaged in providing formulation, development, and manufacturing services for soft capsules, as well as largescale manufacturing of oral solid dose forms. The Biologics segment provides biologic cell-line, cell therapy and viral vector gene therapy development and manufacturing services. The Oral and Specialty Delivery segment provides formulation development and manufacturing across a range of technologies along with integrated downstream clinical development and commercial supply solutions. The Clinical Supply Services segment is engaged in manufacturing, packaging, distribution and inventory management for drugs and biologics in clinical trials.",CATALENT INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
YCBD,"cbdMD, Inc. produces and distributes spectrum cannabidiol (CBD) products and spectrum CBD products. The Company owns and operates the CBD brands, including cbdMD, Paw CBD and cbdMD Botanicals. cbdMD includes approximately 130 SKUs of premium CBD products, including CBD tinctures, CBD gummies, CBD topicals, CBD capsules, CBD bath bombs, CBD bath salts, and CBD sleep aids. Paw CBD includes approximately 45 SKUs of veterinarian-formulated products, including tinctures, chews, topicals products in varying strengths and formulas. cbdMD Botanicals brand of beauty and skincare products features approximately 15 SKUs, including facial oil and serum, toners, moisturizers, clear skin, facial masks, exfoliants and body care. The Company operates through seven segments: staff related expenses, accounting and legal expenses, professional outside services, travel and entertainment expenses, rent, business insurance, and non-cash stock compensation expense.",CBDMD INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
CPHI,"China Pharma Holdings Inc is a company principally engaged in the development, manufacture and marketing of pharmaceutical products. The Company's products are for human use in connection, and with a variety of high-incidence and high-mortality diseases and medical conditions prevalent. The Company manufactures pharmaceutical products in the form of dry powder injectables, liquid injectables, tablets, capsules, and cephalosporin oral solutions. In addition, the Company is also engaged in the production of comprehensive healthcare products and protective products.",CHINA PHARMA HOLDINGS INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
CTXR,"Citius Pharmaceuticals Inc. specialty pharmaceutical company. The Company develops and commercializes critical care products with a focus on anti-infective products in adjunct cancer care, prescription products and mesenchymal stem cell therapy. It has five products: Mino-Lok, Mino-Wrap, Halo-Lido, NoveCite and I/ONTAK. Mino-Lok is an antibiotic lock solution used to treat patients with catheter-related bloodstream infections by salvaging the infected catheter. Mino-Wrap is a liquifying gel-based wrap for reduction of tissue expander infections following breast reconstructive surgeries. Halo-Lido is a corticosteroid-lidocaine topical formulation, which is intended to provide anti-inflammatory and anesthetic relief to persons suffering from hemorrhoids. NoveCite is a mesenchymal stem cell therapy for the treatment of ARDS. I/ONTAK is an engineered IL-2 diphtheria toxin fusion protein, for the treatment of patients with persistent or recurrent cutaneous T-cell lymphoma. ",CITIUS PHARMACEUTICALS INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
CLSD,"Clearside Biomedical, Inc. is a biopharmaceutical company. The Company is focused on developing and delivering therapies to the back of the eye diseases through the suprachoroidal space (SCS). Its SCS injection platform utilizing its SCS Microinjector, enables an in-office, repeatable, non-surgical procedure for the targeted delivery of a variety of therapies to the macula, retina or choroid to preserve and improve vision in patients with sight-threatening eye diseases. It is focused on developing its own pipeline of small molecule product candidates for administration via its SCS Microinjector, and it also partners with companies developing other ophthalmic therapeutics to be administered using its SCS injection platform. Its lead product candidate, XIPERE, is a preservative-free suspension of the corticosteroid triamcinolone acetonide (TA), formulated for administration through suprachoroidal injection. Its pipeline includes CLS-AX, CLS-301 and Gene Therapy.",CLEARSIDE BIOMEDICAL INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
CNSP,"CNS Pharmaceuticals, Inc. is a clinical-stage pharmaceutical company developing a pipeline of anti-cancer drug candidates for the treatment of primary and metastatic cancers of the brain and central nervous system. The Company's lead drug candidate, Berubicin, is a novel anthracycline and the first anthracycline to appear to cross the blood-brain barrier. Berubicin is in development for the treatment of a number of serious brain and central nervous system (CNS) oncology indications, including glioblastoma multiforme (GBM), an aggressive and incurable form of brain cancer. Additionally, the Company is advancing the development of its WP1244/WP1874 drug technology, which utilizes anthracycline and distamycin-based scaffolds to create small molecule agents. The Company is also evaluating the use of WP1244/WP1874 in the treatment of other primary brain and central nervous system cancers, as well as cancers metastatic to the brain including pancreatic, ovarian, and lymphomas.",CNS PHARMACEUTICALS INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
COCP,"Cocrystal Pharma, Inc. is a biotechnology company. The Company focuses on developing antiviral therapeutics that inhibit the essential viral replication function of RNA viruses causing acute and chronic viral diseases. The Company focuses on treating influenza virus, coronavirus, hepatitis C virus (HCV) and norovirus infections by discovering and developing drug candidates targeting the viral replication process. The Company uses computational methods to screen and design product candidates using cocrystal structural information. Its development pipeline includes CC-31244 and CC-42344. The Company’s CC-31244 is a pan-genotypic inhibitor of NS5B polymerase for the treatment of hepatitis C infection. The Company’s CC-42344 is a PB2 inhibitor for the treatment of influenza A infection. Its pipeline also includes CDI-45205 for the treatment of coronavirus. It has also developed chemical libraries consisting of non-nucleoside inhibitors, metal-binding inhibitors, and drug-like fragments. ",COCRYSTAL PHARMA INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
COLL,"Collegium Pharmaceutical, Inc. is a diversified specialty pharmaceutical company focused on pain management. Collegium is a diversified, specialty pharmaceutical company committed to improving the lives of people living with serious medical conditions. The Company's product portfolio includes Xtampza ER, an abuse-deterrent, extended-release, oral formulation of oxycodone; and Nucynta ER and Nucynta IR (Nucynta Products), which are extended-release (ER) and immediate-release (IR) formulations of tapentadol. Xtampza ER is formulated using its abuse-deterrent technology platform, DETERx. Xtampza ER is for the management of pain severe enough to require daily, around-the-clock, long-term opioid treatment. Nucynta ER is indicated for the management of pain severe enough to require daily, around-the-clock, long-term opioid treatment, including neuropathic pain. Nucynta IR is indicated for the management of acute pain severe enough to require an opioid analgesic.",COLLEGIUM PHARMACEUTICAL INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
CORT,"Corcept Therapeutics Incorporated is a commercial-stage company engaged in the discovery and development of drugs that treat severe metabolic, oncologic and neuropsychiatric disorders by modulating the effects of the hormone cortisol. The Company operates through the discovery, development and commercialization of the pharmaceutical products segment. It has marketed Korlym (mifepristone) for the treatment of patients suffering from Cushing’s syndrome. The Company’s portfolio of selective cortisol modulators consists of four series totaling approximately 1,000 compounds. Its portfolio of selective cortisol modulators consists of relacorilant, exicorilant, dazucorilant and miricorilant. Its cortisol activity can be modulated by a drug that competes with cortisol as it attempts to bind to the glucocorticoid receptor (GR). The Company’s ingredient, mifepristone, reduces the binding of excess cortisol to GR. Its compounds bind to GR but not the progesterone, estrogen, or androgen receptors.",CORCEPT THERAPEUTICS INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
CPIX,"Cumberland Pharmaceuticals Inc. is a specialty pharmaceutical company that is focused on the acquisition, development, and commercialization of prescription pharmaceutical products. Its portfolio of brands includes Acetadote injection, for the treatment of acetaminophen poisoning; Caldolor injection, for the treatment of pain and fever; Kristalose for oral solution, a prescription laxative, for the treatment of constipation; and Omeclamox-Pak for the treatment of Helicobacter pylori (H. pylori) infection and related duodenal ulcer disease. Its brands also include RediTrex injection, for the treatment of active rheumatoid, juvenile idiopathic and severe psoriatic arthritis, as well as disabling psoriasis; Sancuso transdermal system, for the prevention of nausea and vomiting in patients receiving certain types of chemotherapy treatment; Vaprisol injection, to raise serum sodium levels in hospitalized patients with euvolemic and hypervolemic hyponatremia; and Vibativ injection. ",CUMBERLAND PHARMACEUTICALS,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
DRRX,"DURECT Corporation is a biopharmaceutical company that is focused on advancing lifesaving investigational therapies. The Company's product candidates include DUR-928 oral for metabolic/lipid disorders, and DUR-928, injectable for acute organ injuries. The Company’s other commercial product candidates include POSIMIR, PERSERIS and Methydur Sustained Release Capsules. The Company is conducting a Phase IIb study (AHFIRM) of larsucosterol (DUR-928) in subjects with severe alcohol-associated hepatitis (Alcoholic Hepatitis (AH) to evaluate the safety and efficacy of larsucosterol treatment. Larsucosterol (DUR-928) is lead product candidate, an endogenous sulfated oxysterol and an epigenetic regulator. The Company focuses on drug delivery technology around its SABER and CLOUD Bioerodible Injectable Depot Systems. SABER uses a high viscosity base component, such as sucrose acetate isobutyrate (SAIB), to provide controlled release of a drug.",DURECT CORP,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
ELAN,"Elanco Animal Health Incorporated is an animal health company. The Company is focused in delivering products and services to prevent and treat disease in farm animals and pets. Its portfolio serves animals across its core species consisting of dogs, cats and cattle, poultry, swine, sheep and aqua. It offers products in two primary categories: Pet Health and Farm Animal. Its Pet Health portfolio is focused on parasiticides, vaccines and therapeutics. Its parasiticide portfolios in the pet health sector include species and formulations, with products that protect pets from worms, fleas and ticks. Its over-the-counter treatments include Seresto, Advantage, Advantix, Advocate, Credelio, Interceptor Plus and Trifexis. Its farm animal portfolio consists of products designed to prevent, control and treat health challenges primarily focused on cattle. Its products include medicated feed additives, antibiotics, vaccines, such as Rumensin and Baytril. Its poultry products are Maxiban and others",ELANCO ANIMAL HLTH INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
EVOK,"Evoke Pharma, Inc. (Evoke) is a specialty pharmaceutical company that owns and operates in the development and commercialization of pharmaceutical products. The Company is focused primarily on the development and commercialization of drugs to treat gastrointestinal (GI) disorders and diseases. Evoke is developing its product Gimoti (metoclopramide) nasal spray for the relief of symptoms in adults with acute and recurrent diabetic gastroparesis. Gimoti, is a dopamine antagonist / mixed 5-HT3 antagonist / 5-HT4 agonist with promotility and anti-emetic effects, for the relief of symptoms associated with acute and recurrent diabetic gastroparesis. Gimoti is a formulation of metoclopramide offering systemic delivery by nasal spray administration.",EVOKE PHARMA INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
EOLS,"Evolus, Inc. is a performance beauty company, which is focused on delivering products in the self-pay aesthetic market. The Company’s first commercial product is Jeuveau, which is an approximately 900 kilodalton (kDa), purified botulinum toxin type A formulation indicated for the temporary improvement in the appearance of moderate to severe glabellar lines, also known as frown lines, in adults. Its primary market is the self-pay aesthetic market, which includes medical products purchased by physicians and other customers that are then sold to consumers or used in procedures for aesthetic indications that are not reimbursed by any third-party payor, such as Medicaid, Medicare or commercial insurance. It offers customers and consumers a compelling value proposition with Jeuveau. BOTOX (onabotulinumtoxinA) is also an approximately 900 kDa botulinum toxin type A complex approved in the United States.",EVOLUS INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
HROW,"Harrow Health, Inc. is an ophthalmic-focused healthcare company. The Company's business specializes in the development, production and sale of medications that serve unmet needs in the marketplace through its subsidiaries and deconsolidated companies. The Company owns and operates ImprimisRx, an ophthalmology-focused pharmaceutical business, and Visionology, Inc. (Visionology), a direct-to-consumer eye care subsidiary focused on chronic eye disease. In addition, the Company holds non-controlling equity positions in Surface Ophthalmics, Inc. (Surface) and Melt Pharmaceuticals, Inc. (Melt). It also owns royalty rights in various drug candidates being developed by Surface and Melt.",HARROW HEALTH INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
IMRA,"Imara, Inc. is a clinical-stage biotechnology company. The Company is focused on developing and commercializing therapeutics to treat patients suffering from rare inherited genetic disorders of hemoglobin and other serious diseases. Its lead product candidate, tovinontrine (IMR-687), is an oral, highly selective, potent small molecule inhibitor of phosphodiesterase-9 (PDE9). PDE9 selectively degrades cyclic guanosine monophosphate (cGMP), an active signaling molecule. IMR-687 is in Phase IIb clinical development for the treatment of sickle cell disease (SCD) and beta- thalassemia. It is also focused on initiating a Phase II clinical trial of IMR-687 in heart failure with preserved ejection fraction (HFpEF). The Company is also focused on development of IMR-261, an oral, clinic-ready activator of nuclear factor erythroid 2-related factor 2 (Nrf2).",IMARA INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
INVA,"Innoviva, Inc. is a holding company. The Company owns a portfolio of royalties and other healthcare assets. Its royalty portfolio contains respiratory assets partnered with Glaxo Group Limited (GSK), including RELVAR/BREO ELLIPTA (fluticasone furoate/ vilanterol, FF/VI), ANORO ELLIPTA (umeclidinium bromide/ vilanterol, UMEC/VI) and TRELEGY ELLIPTA (the combination FF/UMEC/VI). Under the Long-Acting Beta2 Agonist (LABA) collaboration agreement, the Company is entitled to receive royalties from GSK on sales of RELVAR/BREO ELLIPTA and royalties from the sales of ANORO ELLIPTA. RELVAR/BREO ELLIPTA is a once-daily combination medicine consisting of a LABA, vilanterol (VI) and an inhaled corticosteroid (ICS), fluticasone furoate (FF). Its TRELEGY ELLIPTA is a once-daily combination medicine consisting of an ICS, long-acting muscarinic antagonist (LAMA) and LABA. Its portfolio also includes sulbactam-durlobactam (SUL-DUR). It also provides GIAPREZA (angiotensin II) and XERAVA (eravacycline).",INNOVIVA INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
JAGX,"Jaguar Health, Inc. is a commercial stage pharmaceutical company. The Company is focused on developing plant-based, non-opioid, and sustainably derived prescription medicines for people and animals with gastrointestinal (GI) distress, including chronic and debilitating diarrhea. The Company operates through two segments: human health and animal health. The animal health segment is focused on developing and commercializing prescription and non-prescription products for companion and production animals. Its Canalevia-CA1 is used for chemotherapy-induced diarrhea in dogs. The human health segment is focused on developing and commercializing of human products and the ongoing commercialization of Mytesi, which is used for the symptomatic relief of non-infectious diarrhea in adults with human immunodeficiency virus (HIV)/ acquired immunodeficiency syndrome (AIDS) on antiretroviral therapy. Its wholly owned subsidiary is Napo Pharmaceuticals, Inc.",JAGUAR HEALTH INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
JNJ,"Johnson & Johnson is a holding company that is engaged in the research and development, manufacture and sale of a range of products in the healthcare field. The Company operates through three segments: Consumer Health, Pharmaceutical and Medical Devices. Its primary focus is products related to human health and well-being. The Consumer Health segment includes a range of products that is focused on personal healthcare used in the skin health/beauty, over-the-counter medicines, baby care, oral care, women’s health and wound care markets. The Pharmaceutical segment is focused on six therapeutic areas: Immunology, Infectious Diseases, Neuroscience, Oncology, Cardiovascular and Metabolism and Pulmonary Hypertension. The Medical Devices segment includes a range of products used in the interventional solutions, orthopaedics, surgery, and vision fields. Its geographic area includes the United States, Europe, Western Hemisphere (excluding the United States), and Africa, Asia and Pacific.",JOHNSON & JOHNSON,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
LCI,"Lannett Company, Inc. is engaged in the development, manufacturing, marketing and distribution of generic versions of brand pharmaceutical products. The Company markets approximately 100 products, mainly tablet, capsule or liquid oral generic medications. Its marketed products include generics such as Posaconazole, Fluphenazine, Levothyroxine, Sumatriptan and NDA-based product Numbrino. The Company’s product portfolio include Amphetamine IR Tablets, which are used to treat Attention deficit hyperactivity disorder (ADHD) and narcolepsy; Dicyclomine tablets, used for the treatment of functional bowel disorder and irritable bowel syndrome; Levothyroxine Capsules, used to treat patients with hypothyroidism and other conditions, and Numbrino Nasal Solution, used for the induction of local anesthesia of the mucous membranes when performing diagnostic procedures and surgeries on or through the nasal cavities in adults, among others.",LANNETT CO INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
LLY,"Eli Lilly and Company is a drug manufacturing company. The Company is engaged in the discovery, development, manufacturing, marketing, and sales of pharmaceutical products across the world. The Company's diabetes products include Baqsimi, Basaglar, Humalog, Humulin, Jardiance, Lyumjev, Trajenta and Trulicity. Its oncology products include Alimta, Cyramza, Erbitux, Retevmo, Tyvyt and Verzenio. The Company's immunology products consist of Olumiant and Taltz. Its neuroscience products include Cymbalta, Emgality, Reyvow and Zyprexa. Its other therapies consist of Bamlanivimab, etesevimab, Cialis and Forteo. The Company manufactures and distributes its products through facilities in the United States, including Puerto Rico, and about eight other countries. Its products are sold in approximately 120 countries. Its subsidiaries include Acanthas Pharma, Inc., Alnara Pharmaceuticals, Inc., ARMO Biosciences, Inc., and Avid Radiopharmaceuticals, Inc., among others.",LILLY (ELI) & CO,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
LPCN,"Lipocine Inc. is a clinical-stage biopharmaceutical company. The Company is focused on applying its oral drug delivery technology for the development of pharmaceutical products focusing on neuroendocrine and metabolic disorders. It has a portfolio of product candidates that target unmet needs for neurological and psychiatric central nervous system (CNS) disorders, liver diseases, and hormone supplementation for men and women. The Company's product candidate, TLANDO, is an oral testosterone replacement therapy (TRT) comprised of testosterone undecanoate (TU). Its additional pipeline candidates include LPCN 1148, LPCN 1144, LPCN 1111 (TLANDO XR), LPCN 1107, LPCN 1154 and LPCN 2101. Its LPCN 1144 is an oral prodrug of bioidentical testosterone comprised of TU for the treatment of non-cirrhotic non-alcoholic steatohepatitis (NASH) which has completed Phase II testing. Its TLANDO XR is an oral TRT product comprised of testosterone tridecanoate (TT), which has completed Phase II trials.",LIPOCINE INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
MRK,"Merck & Co., Inc. is a global health care company. The Company offers health solutions through its prescription medicines, vaccines, biologic therapies and animal health products. It operates through two segments: Pharmaceutical and Animal Health. The Company's Pharmaceutical segment includes human health pharmaceutical and vaccine products. Its human health pharmaceutical products consist of therapeutic and preventive agents, generally sold by prescription, for the treatment of human disorders. The Company sells these human health pharmaceutical products primarily to drug wholesalers and retailers, hospitals, government agencies and managed health care providers such as health maintenance organizations. The Animal Health segment develops, manufactures and markets a range of veterinary pharmaceutical and vaccine products, as well as health management solutions and services, for the prevention, treatment and control of disease in all livestock and companion animal species.",MERCK & CO,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
NKTR,"Nektar Therapeutics is a research-based biopharmaceutical company, which is focused on discovering and developing medicines in areas of unmet medical need. The Company's research and development pipeline of new investigational drugs includes potential therapies for oncology, immunology and virology. In oncology, it is studying several immuno-oncology (I-O) drug candidates, including bempegaldesleukin, NKTR-255 and NKTR-262. In immunology, it is focused on addressing imbalances in the immune system to restore the body's self-tolerance mechanisms and achieve immune homeostasis. In autoimmune disorders, its IL-2 T-regulatory cell stimulator NKTR-358 is being clinically studied in systemic lupus erythematosus, ulcerative colitis, psoriasis and atopic dermatitis. Its programs in virology area include studying bempegaldesleukin in treating individuals affected with COVID-19, and a preclinical research collaboration with Gilead Sciences Inc. (Gilead) to test the combination of NKTR-255.",NEKTAR THERAPEUTICS,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
NBY,"NovaBay Pharmaceuticals, Inc. is a pharmaceutical company that develops and sells consumer products for the eyecare and skincare markets. The Company's lead product, Avenova Antimicrobial Lid and Lash Solution (Avenova Spray), is proven in laboratory testing to have antimicrobial properties as it removes foreign material, such as microorganisms and debris from the skin around the eye, including the eyelid. Avenova Spray is formulated with its form of hypochlorous acid and is cleared by the United States Food and Drug Administration (FDA) for sale in the United States. Its other eyecare products offered under the Avenova eyecare brand include Novawipes by Avenova, Avenova Lubricant Eye Drops, Avenova Moist Heating Eye Compress and the i-Chek. Avenova Spray is available both over-the-counter and as a prescription. Avenova Spray is also available at optometrists and ophthalmologists offices; at national pharmacy chains across all over 50 states, and through its Partner Pharmacy Program.",NOVABAY PHARMACEUTICALS INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
NOVN,"Novan, Inc.is a pre-commercial nitric oxide-based pharmaceutical company. The Company is engaged in researching, developing and marketing products for skin diseases. The Company is focused on dermatology and anti-infective therapies. Its technology platform leverages nitric oxide’s naturally occurring anti-viral, anti-bacterial, anti-fungal, and immunomodulatory mechanisms of action to treat a range of diseases. The Company has clinical-stage dermatology and anti-infective drug candidates with multi-factorial (SB204), anti-viral (SB206), anti-fungal (SB208), and anti-inflammatory (SB414) mechanisms of action. The Company’s lead product candidate is SB206, which is a topical gel with anti-viral properties for the treatment of viral skin infections, with focus on molluscum contagiosum. The Company is exploring the potential of its NITRICIL technology as a potential treatment option for COVID-19, targeting the reduction of viral shedding and transmission.",NOVAN INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
OPNT,"Opiant Pharmaceuticals, Inc., is a specialty pharmaceutical company developing medicines for addictions and drug overdose. The Company has developed NARCAN (naloxone hydrochloride) Nasal Spray, a treatment to reverse opioid overdose. Its lead development product include OPNT003. The Company’s pipeline includes medicines in development for Opioid Overdose Reversal (OOR), Alcohol Use Disorder (AUD), Opioid Use Disorder (OUD), and Acute Cannabinoid Overdose (ACO). The Company also is focused on other treatment opportunities within the addiction and drug overdose field. ",OPIANT PHARMACEUTICALS INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
OPTN,"OptiNose, Inc. is a specialty pharmaceutical company focused on the development and commercialization of products for patients treated by ear, nose and throat (ENT) and allergy specialists. The Company's first commercial product, XHANCE (fluticasone propionate) nasal spray, 93 micrograms (mcg), is a therapeutic utilizing the Company's Exhalation Delivery System (EDS), which delivers a topically acting corticosteroid for the treatment of chronic rhinosinusitis with nasal polyps and, if approved, chronic rhinosinusitis without nasal polyps. The Onzetra Xsail is a sumatriptan nasal powder and sells in the United States, Canada and Mexico.",OPTINOSE INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
PCRX,"Pacira BioSciences, Inc. is a holding company for Pacira Pharmaceuticals, Inc. The Company is engaged in advancing a pipeline of products across a range of therapeutic areas that include acute postsurgical pain; acute and chronic osteoarthritis (OA), pain of the knee; low back and other areas; spasticity and stellate ganglion block of the sympathetic nerves. The company is developing interventions to address debilitating conditions involving the sympathetic nervous system. The Company's non-opioid treatments include EXPAREL (bupivacaine liposome injectable suspension), which is a long-acting, local analgesic; ZILRETTA (triamcinolone acetonide extended-release injectable suspension), which is an extended-release, intra-articular, corticosteroid injection indicated for OA knee pain, and Iovera, which is a novel handheld device for delivering immediate, long-acting, drug-free pain control using precise, controlled doses of cold temperature to a targeted nerve.",PACIRA BIOSCIENCES INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
PRTK,"Paratek Pharmaceuticals, Inc. is a commercial-stage biopharmaceutical company. The Company is focused on the development and commercialization of life-saving therapies for life-threatening diseases or other public health threats for civilian, government and military use. The Company's lead product, NUZYRA (omadacycline), is an oral and intravenous antibiotic for the treatment of adult patients with community-acquired bacterial pneumonia (CABP), and acute skin and skin structure infections (ABSSSI), caused by susceptible pathogens. Omadacycline is used in the emergency room, hospital, and community care settings. Its second product, SEYSARA (Sarecycline), is an oral therapy for the treatment of moderate to severe acne vulgaris.",PARATEK PHARMACEUTCLS INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
